"","incident_type","speed_mean","speed_sd","speed_min","speed_max","delay_mean","delay_sd","delay_min","delay_max"
"1","accident",47.1119754832626,4.21553844232833,40,50,263.891418563923,220.831724592194,37,1107
"2","animals on roadway",50,0,50,50,265.466666666667,200.321053046816,26,528
"3","broken down vehicle",30,0,30,30,202.50328022493,122.184182390268,31,799
"4","heavy traffic, traffic building up",50.0207083186257,13.0419528509041,16,72,179.361849096706,56.1829602350983,78,262
"5","people on roadway",48.840256924347,3.07729379832716,40,50,370.879356897398,273.245751208098,25,1082
"6","queuing traffic",26.7329411764706,11.1390884340234,4,44,161.732352941176,66.650424119854,30,480
"7","right lane closed",60,0,60,60,191.281900505704,100.575057806189,28,799
"8","road surface in poor condition",49.9430715801894,0.752360814951796,40,50,110.907291890729,70.2765853327818,37,747
"9","roadworks",62.1371128233364,19.0821324147435,40,80,277.312849426255,256.763006244163,23,1230
"10","shed load",47.3823655913978,4.19513339041985,40,50,171.42605156038,84.1296086970842,30,472
"11","slow traffic",49.9032513444896,8.45866944622911,4,71,105.289481586634,70.913237551915,23,345
"12","slow vehicle",60,0,60,60,NA,NA,Inf,-Inf
"13","smoke hazard",60,0,60,60,NA,NA,Inf,-Inf
"14","stationary traffic",12.2179056521104,6.82658279497109,2,31,393.28771724843,252.723581732704,44,1230
"15","strong winds",50,0,50,50,356.167570527538,280.103376977825,26,982
"16","traffic problem",70,0,70,70,786.213197969543,145.953113901616,103,862
"17","vehicle fire",50,0,50,50,643.503921568627,367.650485052643,30,1230
"18","vehicle on wrong carriageway",50,0,50,50,NA,NA,Inf,-Inf
